orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;190513.62
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;FORNECIMENTO DE ALIMENTACAO;28464.66
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Manutenção e Conservação de Bens Imóveis;MANUTENCAO E CONSERV. DE BENS IMOVEIS;433248.4
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Manutenção e Conservação de Bens Imóveis;CONDOMINIOS;34753
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;764299.56
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;524698.44
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;868853.58
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC;0
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Diárias;DIARIAS NO EXTERIOR;21191.15
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;GENEROS DE ALIMENTACAO;2092947.19
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;GAS E OUTROS MATERIAIS ENGARRAFADOS;39459.43
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Combustíveis e Lubrificantes;COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES;20795.8
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Combustíveis e Lubrificantes;COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;16799.02
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Diárias;DIARIAS NO EXTERIOR;528330.8351
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Diárias;DIARIAS NO PAIS;756283.25
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Diárias;DIARIAS NO PAIS;3283.4
MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;Tecnologia da Informação e Comunicação;SERVICOS DE TIC PESSOA JURIDICA - PAGAMENTO ANTECIPADO;26511.156
MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;Tecnologia da Informação e Comunicação;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;18117.61
MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;202921.7795
MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;Tecnologia da Informação e Comunicação;SERVICOS DE OUTSOURCING - ALMOX VIRTUAL (IN 51/2021);1713.11
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Diárias;DIARIAS NO PAIS;10652.65
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Contratação Temporária;AUXILIO-TRANSPORTE;3450.89
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Contratação Temporária;AUXILIO-CRECHE;1829.7
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Contratação Temporária;AUXILIO-ALIMENTACAO;22656.12
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Passagens e Despesas com Locomoção;AUXILIO-TRANSPORTE ESTAGIARIOS;19970
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;88458.93
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Diárias;DIARIAS A COLABORADORES EVENTUAIS NO PAIS;1797.09
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Diárias;DIARIAS NO PAIS;59644.27
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Contratação Temporária;AUXILIO-TRANSPORTE;377.84
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Contratação Temporária;AUXILIO-CRECHE;963
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;Contratação Temporária;AUXILIO-ALIMENTACAO;25691.92
